         16610805 function calls (16597347 primitive calls) in 38.085 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1226    0.001    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:75(_path_stat)
      191    0.001    0.000    0.001    0.000 {built-in method numpy.core.multiarray.concatenate}
  398/396    0.001    0.000    0.001    0.000 pyparsing.py:281(__init__)
  844/380    0.001    0.000    0.030    0.000 _base.py:688(get_xaxis_transform)
       92    0.001    0.000    0.018    0.000 axis.py:381(_get_text1)
    96/88    0.001    0.000    0.057    0.001 axis.py:546(_get_tick1line)
      172    0.001    0.000    0.006    0.000 transforms.py:2702(_revalidate)
       64    0.001    0.000    0.003    0.000 ticker.py:1684(_validate_steps)
       63    0.001    0.000    0.001    0.000 cm.py:47(<listcomp>)
    92/84    0.001    0.000    0.055    0.001 axis.py:414(_get_tick1line)
      259    0.001    0.000    0.001    0.000 {built-in method _imp._fix_co_filename}
     2063    0.001    0.000    0.001    0.000 transforms.py:1853(get_matrix)
     3386    0.001    0.000    0.001    0.000 {built-in method builtins.id}
      588    0.001    0.000    0.001    0.000 lines.py:1019(set_drawstyle)
       93    0.001    0.000    0.035    0.000 sre_compile.py:557(compile)
      761    0.001    0.000    0.004    0.000 figure.py:54(_stale_figure_callback)
      588    0.001    0.000    0.001    0.000 lines.py:1432(set_solid_joinstyle)
    92/84    0.001    0.000    0.053    0.001 axis.py:425(_get_tick2line)
     1667    0.001    0.000    0.001    0.000 {built-in method _weakref._remove_dead_weakref}
     1465    0.001    0.000    0.001    0.000 artist.py:244(axes)
      401    0.001    0.000    0.004    0.000 numeric.py:150(ones)
     1582    0.001    0.000    0.001    0.000 {built-in method builtins.abs}
      299    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:361(_get_cached)
      299    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1228(_get_spec)
       25    0.001    0.000    0.013    0.001 __init__.py:905(__init__)
     1214    0.001    0.000    0.001    0.000 {built-in method builtins.setattr}
       13    0.001    0.000    0.004    0.000 {built-in method builtins.eval}
       55    0.001    0.000    0.001    0.000 cycler.py:349(by_key)
      194    0.001    0.000    0.001    0.000 font_manager.py:998(<listcomp>)
       96    0.001    0.000    0.019    0.000 axis.py:531(_get_text2)
      588    0.001    0.000    0.001    0.000 lines.py:1186(set_markeredgewidth)
     1162    0.001    0.000    0.003    0.000 artist.py:201(convert_yunits)
       22    0.001    0.000    0.015    0.001 __init__.py:359(namedtuple)
     2409    0.001    0.000    0.001    0.000 {method 'pop' of 'dict' objects}
    57/17    0.001    0.000    0.002    0.000 abc.py:194(__subclasscheck__)
      606    0.001    0.000    0.006    0.000 traceback.py:279(line)
       60    0.001    0.000    0.001    0.000 function_base.py:25(linspace)
      643    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1080(_path_importer_cache)
      644    0.001    0.000    0.002    0.000 backend_bases.py:1010(set_foreground)
      189    0.001    0.000    0.001    0.000 shape_base.py:61(atleast_2d)
      516    0.001    0.000    0.001    0.000 artist.py:52(after)
       93    0.001    0.000    0.003    0.000 sre_compile.py:482(_compile_info)
      238    0.001    0.000    0.002    0.000 enum.py:70(__setitem__)
      309    0.001    0.000    0.001    0.000 enum.py:351(__setattr__)
       11    0.001    0.000    0.026    0.002 artist.py:1226(pprint_setters)
      128    0.001    0.000    0.008    0.000 ticker.py:1711(set_params)
       92    0.001    0.000    0.016    0.000 axis.py:398(_get_text2)
   112/20    0.001    0.000    0.009    0.000 pyparsing.py:2524(parseImpl)
       60    0.001    0.000    0.002    0.000 cbook.py:493(connect)
      190    0.001    0.000    0.001    0.000 {method 'clear' of 'matplotlib.ft2font.FT2Font' objects}
       11    0.001    0.000    0.005    0.000 artist.py:1087(get_aliases)
       93    0.001    0.000    0.017    0.000 sre_parse.py:845(parse)
      419    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:85(_path_is_mode_type)
      769    0.001    0.000    0.001    0.000 __init__.py:1433(is_interactive)
      520    0.001    0.000    0.004    0.000 transforms.py:2176(get_affine)
      180    0.001    0.000    0.156    0.001 axis.py:908(iter_ticks)
      626    0.001    0.000    0.001    0.000 artist.py:353(get_transform)
      518    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:63(_path_split)
      408    0.001    0.000    0.002    0.000 artist.py:919(set_zorder)
      256    0.001    0.000    0.005    0.000 transforms.py:1735(frozen)
      516    0.001    0.000    0.001    0.000 artist.py:45(before)
      397    0.001    0.000    0.004    0.000 font_manager.py:813(set_family)
      588    0.001    0.000    0.001    0.000 lines.py:1000(set_antialiased)
      404    0.001    0.000    0.001    0.000 text.py:1254(set_usetex)
      212    0.001    0.000    0.004    0.000 transforms.py:1957(translate)
      558    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:389(cached)
       13    0.001    0.000    0.503    0.039 __init__.py:1(<module>)
      156    0.001    0.000    0.001    0.000 ticker.py:760(pprint_val)
      428    0.001    0.000    0.002    0.000 transforms.py:2372(transform_non_affine)
     1688    0.001    0.000    0.001    0.000 markers.py:287(_set_nothing)
      767    0.001    0.000    0.002    0.000 pyplot.py:565(_auto_draw_if_interactive)
      209    0.001    0.000    0.006    0.000 transforms.py:838(from_extents)
       48    0.001    0.000    0.008    0.000 _base.py:2270(handle_single_axis)
     1538    0.001    0.000    0.001    0.000 sre_parse.py:248(match)
      162    0.001    0.000    0.026    0.000 patches.py:214(get_transform)
     1475    0.001    0.000    0.001    0.000 artist.py:1183(is_alias)
       96    0.001    0.000    0.006    0.000 _base.py:790(get_yaxis_text1_transform)
       77    0.001    0.000    0.001    0.000 transforms.py:2747(nonsingular)
     2660    0.001    0.000    0.001    0.000 {method 'values' of 'dict' objects}
      404    0.001    0.000    0.001    0.000 text.py:994(set_color)
     3499    0.001    0.000    0.001    0.000 inspect.py:2448(name)
     1329    0.001    0.000    0.001    0.000 inspect.py:158(isfunction)
      319    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:57(__init__)
      161    0.001    0.000    0.006    0.000 sre_compile.py:223(_compile_charset)
      125    0.001    0.000    0.002    0.000 copy.py:66(copy)
      263    0.001    0.000    0.003    0.000 fromnumeric.py:1953(all)
      620    0.001    0.000    0.001    0.000 {method 'ravel' of 'numpy.ndarray' objects}
      273    0.001    0.000    0.002    0.000 function_base.py:4361(add_newdoc)
     2707    0.001    0.000    0.001    0.000 {method 'remove' of 'set' objects}
      606    0.001    0.000    0.005    0.000 linecache.py:15(getline)
      588    0.001    0.000    0.001    0.000 lines.py:1198(set_markerfacecolor)
       24    0.001    0.000    0.033    0.001 axis.py:1067(_get_tick_bboxes)
      392    0.001    0.000    0.003    0.000 fromnumeric.py:2703(around)
      566    0.001    0.000    0.001    0.000 __init__.py:313(report)
      194    0.001    0.000    0.002    0.000 font_manager.py:996(make_rcparams_key)
